Time (s),Channel 1 (V),Channel 2 (V)
-0.00103248,-0.00240503255179908,-0.004315345333505625
-0.00103235,-0.002742074877712867,-0.008052744072110152
-0.00103222,-0.002067990225886213,-0.008052744072110152
-0.00103209,-0.002405032551799386,-0.008052744072110152
-0.00103196,-0.00274207487771256,-0.004315345333512423
-0.00103183,-0.002067990225886213,-0.0005779465949095962
-0.0010317,-0.002067990225886059,-0.008052744072108452
-0.00103157,-0.002405032551800306,-0.004315345333509024
-0.00103144,-0.003416159529539828,-0.004315345333509024
-0.00103131,-0.00274207487771348,-0.008052744072106752
-0.00103118,-0.002742074877712867,-0.004315345333509024
-0.00103105,-0.002405032551799386,-0.004315345333512423
-0.00103092,-0.002405032551799386,-0.008052744072110152
-0.00103079,-0.003079117203625428,-0.004315345333514123
-0.00103066,-0.00274207487771302,-0.004315345333509024
-0.00103053,-0.003079117203626195,-0.004315345333510723
-0.0010304,-0.002742074877712867,-0.008052744072106753
-0.00103027,-0.002742074877712867,-0.004315345333509024
-0.00103014,-0.002742074877712867,-0.004315345333509024
-0.00103001,-0.002742074877712867,-0.0005779465949078966
-0.00102988,-0.002405032551799233,0.003159452143691531
-0.00102975,-0.002067990225886059,-0.000577946594906197
-0.00102962,-0.002742074877711947,-0.0005779465949078966
-0.00102949,-0.002405032551799539,-0.0005779465949078966
-0.00102936,-0.002067990225886059,-0.0005779465949078966
-0.00102923,-0.002405032551799386,-0.0005779465949044974
-0.0010291,-0.002405032551799386,0.003159452143693231
-0.00102897,-0.00274207487771256,-0.004315345333502226
-0.00102884,-0.002405032551799386,-0.0005779465949078966
-0.00102871,-0.002405032551799386,0.003159452143693231
-0.00102858,-0.002405032551799386,0.003159452143693231
-0.00102845,-0.002742074877712713,-0.0005779465949095962
-0.00102832,-0.002405032551799539,-0.004315345333507324
-0.00102819,-0.002742074877712867,-0.0005779465949078966
-0.00102806,-0.003079117203626348,0.003159452143689832
-0.00102793,-0.003079117203626348,-0.0005779465949078966
-0.0010278,-0.003079117203626348,-0.004315345333505625
-0.00102767,-0.003079117203626348,-0.004315345333509024
-0.00102754,-0.003079117203626348,-0.004315345333510723
-0.00102741,-0.003079117203626348,-0.008052744072110152
-0.00102728,-0.003079117203626041,-0.008052744072110152
-0.00102715,-0.002405032551799693,-0.008052744072110152
-0.00102702,-0.002742074877712867,-0.008052744072110152
-0.00102689,-0.003079117203626041,-0.008052744072106753
-0.00102676,-0.002742074877712867,-0.004315345333509024
-0.00102663,-0.002405032551799693,-0.0005779465949112958
-0.0010265,-0.002067990225886059,-0.0005779465949078966
-0.00102637,-0.002405032551799233,-0.004315345333509024
-0.00102624,-0.002067990225885906,-0.004315345333514123
-0.00102611,-0.002067990225886059,-0.008052744072108452
-0.00102598,-0.00240503255179908,-0.004315345333512423
-0.00102585,-0.002405032551799386,-0.004315345333509024
-0.00102572,-0.00274207487771256,-0.004315345333509024
-0.00102559,-0.002405032551799386,-0.004315345333509024
-0.00102546,-0.003079117203625734,-0.004315345333509024
-0.00102533,-0.002405032551799693,-0.004315345333509024
-0.0010252,-0.002742074877712713,0.003159452143694931
-0.00102507,-0.002405032551799999,0.006896850882290959
-0.00102494,-0.003079117203626348,0.003159452143693231
-0.00102481,-0.002405032551799999,0.003159452143693231
-0.00102468,-0.002067990225885906,0.003159452143693231
-0.00102455,-0.002405032551799693,0.003159452143689832
-0.00102442,-0.002742074877712713,-0.000577946594906197
-0.00102429,-0.002742074877712867,0.003159452143688132
-0.00102416,-0.002405032551799539,0.006896850882292659
-0.00102403,-0.002405032551799539,0.006896850882292659
-0.0010239,-0.00274207487771256,0.003159452143693231
-0.00102377,-0.002405032551799386,0.003159452143693231
-0.00102364,-0.003079117203625734,0.006896850882290959
-0.00102351,-0.002405032551799386,-0.004315345333509024
-0.00102338,-0.002742074877712867,-0.0005779465949112958
-0.00102325,-0.002742074877712867,-0.008052744072106752
-0.00102312,-0.002405032551799846,-0.0005779465949180941
-0.00102299,-0.002742074877712713,-0.008052744072106752
-0.00102286,-0.002405032551799386,-0.008052744072110152
-0.00102273,-0.002067990225885906,-0.0005779465949146948
-0.0010226,-0.002067990225885906,-0.008052744072110152
-0.00102247,-0.00240503255179908,-0.01179014281070788
-0.00102234,-0.002405032551799386,-0.008052744072110152
-0.00102221,-0.00274207487771256,-0.008052744072108452
-0.00102208,-0.002067990225886213,-0.004315345333510724
-0.00102195,-0.002405032551799386,-0.008052744072110152
-0.00102182,-0.002405032551799386,-0.008052744072110152
-0.00102169,-0.002405032551799386,-0.008052744072110152
-0.00102156,-0.002067990225885906,-0.0005779465949078966
-0.00102143,-0.002067990225885906,-0.0005779465949078966
-0.0010213,-0.002067990225885906,-0.004315345333505625
-0.00102117,-0.002405032551799233,-0.004315345333509024
-0.00102104,-0.00240503255179908,-0.008052744072108452
-0.00102091,-0.001730947899972884,-0.004315345333514123
-0.00102078,-0.002067990225885906,-0.008052744072108452
-0.00102065,-0.002067990225885906,-0.004315345333510724
-0.00102052,-0.002405032551799386,-0.008052744072110152
-0.00102039,-0.002067990225885906,0.003159452143689832
-0.00102026,-0.002067990225885906,-0.0005779465949078966
-0.00102013,-0.002067990225885906,-0.0005779465949078966
-0.00102,-0.001393905574059251,-0.004315345333507324
-0.00101987,-0.001730947899972425,-0.004315345333507325
-0.00101974,-0.001730947899972425,-0.0005779465949078966
-0.00101961,-0.001730947899972425,-0.0005779465949078966
-0.00101948,-0.002405032551798773,-0.0005779465949078966
-0.00101935,-0.002405032551799386,-0.0005779465949078966
-0.00101922,-0.002067990225886213,0.003159452143693231
-0.00101909,-0.002405032551799386,0.003159452143693231
-0.00101896,-0.002742074877712407,0.00689685088228926
-0.00101883,-0.002742074877712867,0.01063424962089379
-0.0010187,-0.002742074877712713,0.003159452143693231
