Time (s),Channel 1 (V),Channel 2 (V)
-0.001032415,-0.02363869908434897,-9.605692704799898
-0.001032285,-0.02330165675843518,-9.504782938857575
-0.001032155,-0.02397574141026214,-9.40387317291526
-0.001032025,-0.02397574141026214,-9.310438204450316
-0.001031895,-0.02363869908434897,-9.205791039769581
-0.001031765,-0.02431278373617532,-9.112356071304498
-0.001031635,-0.02397574141026229,-9.011446305362181
-0.001031505,-0.02431278373617562,-8.914273938158507
-0.001031375,-0.02431278373617562,-8.817101570954968
-0.001031245,-0.02363869908434928,-8.719929203751427
-0.001031115,-0.02397574141026214,-8.630231634024911
-0.001030985,-0.02397574141026245,-8.533059266821185
-0.001030855,-0.02431278373617562,-8.428412102140451
-0.001030725,-0.02464982606208864,-8.331239734936954
-0.001030595,-0.0246498260620891,-8.234067367733235
-0.001030465,-0.02431278373617578,-8.144369798006716
-0.001030335,-0.0246498260620891,-8.039722633325841
-0.001030205,-0.0246498260620891,-7.938812867383703
-0.001030075,-0.02498686838800228,-7.84537789891876
-0.001029945,-0.02397574141026214,-7.740730734237843
-0.001029815,-0.02431278373617578,-7.64729576577277
-0.001029685,-0.02464982606208895,-7.55012339856923
-0.001029555,-0.02431278373617609,-7.4417388351499
-0.001029425,-0.02464982606208895,-7.352041265423367
-0.001029295,-0.02498686838800243,-7.254868898219648
-0.001029165,-0.0246498260620888,-7.146484334800179
-0.001029035,-0.02431278373617562,-7.053049366335236
-0.001028905,-0.0246498260620888,-6.955876999131695
-0.001028775,-0.0246498260620891,-6.854967233189377
-0.001028645,-0.02464982606208926,-6.757794865985701
-0.001028515,-0.02498686838800243,-6.656885100043563
-0.001028385,-0.02498686838800243,-6.548500536624037
-0.001028255,-0.02464982606208926,-6.4475907706819
-0.001028125,-0.02532391071391607,-6.354155802216825
-0.001027995,-0.02566095303982893,-6.253246036274503
-0.001027865,-0.02498686838800258,-6.152336270332364
-0.001027735,-0.02498686838800258,-6.055163903128824
-0.001027605,-0.02532391071391607,-5.950516738447903
-0.001027475,-0.02498686838800243,-5.853344371244227
-0.001027345,-0.0246498260620891,-5.752434605301906
-0.001027215,-0.02464982606208926,-5.651524839359764
-0.001027085,-0.02498686838800243,-5.543140275940429
-0.001026955,-0.0246498260620891,-5.44223050999815
-0.001026825,-0.02498686838800258,-5.345058142794431
-0.001026695,-0.02498686838800258,-5.247885775590891
-0.001026565,-0.02532391071391576,-5.135763813432959
-0.001026435,-0.02532391071391607,-5.034854047490673
-0.001026305,-0.02566095303982939,-4.933944281548354
-0.001026175,-0.02532391071391653,-4.84050931308321
-0.001026045,-0.02566095303982924,-4.724649952186691
-0.001025915,-0.0249868683880032,-4.63121498372179
-0.001025785,-0.02566095303982955,-4.530305217779475
-0.001025655,-0.02532391071391637,-4.429395451837149
-0.001025525,-0.02566095303982955,-4.324748287156413
-0.001025395,-0.02566095303982955,-4.216363723737079
-0.001025265,-0.02599799536574287,-4.122928755271994
-0.001025135,-0.02532391071391607,-4.022018989329673
-0.001025005,-0.02532391071391637,-3.913634425910197
-0.001024875,-0.02566095303982955,-3.812724659968058
-0.001024745,-0.02532391071391637,-3.71181489402592
-0.001024615,-0.02566095303982955,-3.607167729344996
-0.001024485,-0.02532391071391607,-3.509995362141275
-0.001024355,-0.02532391071391607,-3.409085596199182
-0.001024225,-0.02532391071391607,-3.296963634041255
-0.001024095,-0.02532391071391607,-3.199791266837518
-0.001023965,-0.02566095303982955,-3.102618899633796
-0.001023835,-0.02566095303982955,-2.997971734952917
-0.001023705,-0.02566095303982955,-2.893324570272181
-0.001023575,-0.02566095303982955,-2.788677405591444
-0.001023445,-0.02566095303982955,-2.69150503838772
-0.001023315,-0.0256609530398297,-2.590595272445444
-0.001023185,-0.02599799536574287,-2.489685506503305
-0.001023055,-0.02599799536574303,-2.38503834182257
-0.001022925,-0.02599799536574303,-2.284128575880243
-0.001022795,-0.02566095303982955,-2.175744012460764
-0.001022665,-0.02566095303982955,-2.078571645257043
-0.001022535,-0.02566095303982955,-1.977661879314904
-0.001022405,-0.02566095303982955,-1.86927731589557
-0.001022275,-0.02633503769165651,-1.76463015121464
-0.001022145,-0.02566095303982955,-1.663720385272364
-0.001022015,-0.02566095303982955,-1.562810619330225
-0.001021885,-0.02599799536574287,-1.469375650865097
-0.001021755,-0.0256609530398297,-1.349778891229969
-0.001021625,-0.02667208001756999,-1.256343922764887
-0.001021495,-0.02599799536574303,-1.155434156822568
-0.001021365,-0.02599799536574303,-1.058261789619027
-0.001021235,-0.02599799536574303,-0.9536146249382905
-0.001021105,-0.02532391071391637,-0.8489674602574114
-0.001020975,-0.0256609530398297,-0.7443202955764846
-0.001020845,-0.02599799536574303,-0.6396731308955681
-0.001020715,-0.02599799536574272,-0.5425007636920272
-0.001020585,-0.02532391071391637,-0.4453283964884863
-0.001020455,-0.02566095303982955,-0.3332064343304083
-0.001020325,-0.02566095303982924,-0.232296668388086
-0.001020195,-0.02532391071391607,-0.1313869024459474
-0.001020065,-0.02566095303982924,-0.02300233902661324
-0.001019935,-0.02566095303982955,0.07417002817707047
-0.001019805,-0.02599799536574287,0.175079794119391
-0.001019675,-0.02566095303982955,0.2759895600616639
-0.001019545,-0.02566095303982955,0.3731619272652049
-0.001019415,-0.02532391071391637,0.481546490684539
-0.001019285,-0.02566095303982955,0.5861936553654692
-0.001019155,-0.02566095303982955,0.6833660225691903
-0.001019025,-0.02566095303982955,0.784275788511329
-0.001018895,-0.0249868683880035,0.8889229531920178
-0.001018765,-0.02532391071391591,0.9935701178729445
-0.001018635,-0.02566095303982939,1.094479883815269
-0.001018505,-0.02532391071391637,1.195389649757541
-0.001018375,-0.02566095303982955,1.292562016961082
-0.001018245,-0.02566095303982955,1.400946580380416
-0.001018115,-0.02532391071391607,1.498118947584144
-0.001017985,-0.02532391071391591,1.599028713526421
-0.001017855,-0.02498686838800274,1.699938479468559
-0.001017725,-0.02464982606208957,1.797110846672102
-0.001017595,-0.02498686838800243,1.898020612614419
-0.001017465,-0.02498686838800274,1.99893037855674
-0.001017335,-0.02532391071391576,2.096102745760417
-0.001017205,-0.02498686838800258,2.197012511702555
-0.001017075,-0.02498686838800258,2.297922277644693
-0.001016945,-0.02566095303982955,2.398832043587016
-0.001016815,-0.02532391071391607,2.496004410790691
-0.001016685,-0.02532391071391607,2.59691417673283
-0.001016555,-0.02566095303982939,2.69408654393655
-0.001016425,-0.02532391071391622,2.79125891114009
-0.001016295,-0.02566095303982955,2.899643474559567
-0.001016165,-0.02498686838800289,2.99307844302469
-0.001016035,-0.02532391071391607,3.097725607705427
-0.001015905,-0.02532391071391607,3.187423177431772
-0.001015775,-0.02498686838800258,3.284595544635483
-0.001015645,-0.02566095303982924,3.385505310577759
-0.001015515,-0.02498686838800258,3.486415076520072
-0.001015385,-0.02498686838800258,3.579850044985017
-0.001015255,-0.02498686838800258,3.677022412188557
-0.001015125,-0.02498686838800258,3.781669576869433
-0.001014995,-0.02532391071391576,3.871367146595952
-0.001014865,-0.02498686838800258,3.97227691253809
-0.001014735,-0.02464982606208941,4.069449279741631
-0.001014605,-0.02532391071391576,4.162884248206706
-0.001014475,-0.0246498260620891,4.263794014149025
-0.001014345,-0.0246498260620891,4.364703780091337
-0.001014215,-0.02464982606208926,4.458138748556284
-0.001014085,-0.02498686838800228,4.559048514498376
-0.001013955,-0.0246498260620891,4.645008685486293
-0.001013825,-0.0246498260620891,4.742181052690015
-0.001013695,-0.0246498260620891,4.843090818632153
-0.001013565,-0.0246498260620891,4.932788388358499
-0.001013435,-0.02498686838800243,5.029960755562166
-0.001013305,-0.02498686838800243,5.12339572402728
-0.001013175,-0.02464982606208941,5.216830692492355
-0.001013045,-0.02498686838800258,5.314003059695895
-0.001012915,-0.02464982606208941,5.407438028160838
-0.001012785,-0.02431278373617562,5.504610395364553
-0.001012655,-0.02464982606208941,5.590570566352468
-0.001012525,-0.02498686838800243,5.687742933555964
-0.001012395,-0.02498686838800258,5.781177902020908
-0.001012265,-0.02498686838800258,5.874612870486022
-0.001012135,-0.0246498260620891,5.968047838951134
-0.001012005,-0.02464982606208941,6.057745408677605
-0.001011875,-0.02498686838800258,6.151180377142548
-0.001011745,-0.02464982606208941,6.244615345607491
-0.001011615,-0.02431278373617562,6.338050314072604
-0.001011485,-0.02431278373617578,6.424010485060469
