Time (s),Channel 1 (V),Channel 2 (V)
-0.00103235,-0.01554968326242513,-21.513045085983
-0.00103222,-0.01554968326242482,-21.45324670616533
-0.00103209,-0.01521264093651165,-21.39344832634776
-0.00103196,-0.01554968326242482,-21.3336499465302
-0.00103183,-0.01554968326242513,-21.27758896545115
-0.0010317,-0.01521264093651165,-21.21779058563348
-0.00103157,-0.01521264093651119,-21.15425480707721
-0.00103144,-0.01487559861059847,-21.09445642725964
-0.00103131,-0.01554968326242482,-21.03465804744208
-0.00103118,-0.01554968326242513,-20.97859706636304
-0.00103105,-0.01554968326242513,-20.91879868654536
-0.00103092,-0.01554968326242513,-20.8552629079892
-0.00103079,-0.0158867255883383,-20.78425233195584
-0.00103066,-0.01588672558833861,-20.72445395213819
-0.00103053,-0.01554968326242513,-20.66465557232052
-0.0010304,-0.01554968326242605,-20.60485719250283
-0.00103027,-0.01622376791425209,-20.5375840152081
-0.00103014,-0.01689785256607844,-20.47404823665194
-0.00103001,-0.01656081024016557,-20.40677505935707
-0.00102988,-0.01656081024016557,-20.34323928080079
-0.00102975,-0.01656081024016557,-20.27970350224463
-0.00102962,-0.01656081024016557,-20.20869292621127
-0.00102949,-0.0168978525660789,-20.14141974891642
-0.00102936,-0.01656081024016557,-20.07788397036014
-0.00102923,-0.01656081024016557,-20.01434819180389
-0.0010291,-0.01656081024016557,-19.95081241324773
-0.00102897,-0.01757193721790509,-19.87980183721437
-0.00102884,-0.01757193721790601,-19.82000345739669
-0.00102871,-0.01723489489199253,-19.74899288136321
-0.00102858,-0.01723489489199253,-19.68171970406848
-0.00102845,-0.01689785256607951,-19.61818392551231
-0.00102832,-0.01723489489199238,-19.54717334947884
-0.00102819,-0.01757193721790586,-19.47616277344535
-0.00102806,-0.01723489489199284,-19.4088895961505
-0.00102793,-0.01757193721790601,-19.33787902011714
-0.0010278,-0.01757193721790601,-19.27060584282238
-0.00102767,-0.01723489489199253,-19.2033326655275
-0.00102754,-0.01723489489199269,-19.13232208949405
-0.00102741,-0.01757193721790586,-19.06131151346069
-0.00102728,-0.01790897954381949,-18.99030093742721
-0.00102715,-0.01790897954381949,-18.91929036139385
-0.00102702,-0.01824602186973297,-18.84454238662179
-0.00102689,-0.01824602186973267,-18.77353181058831
-0.00102676,-0.01790897954381949,-18.70625863329355
-0.00102663,-0.01892010652155901,-18.6315106585216
-0.0010265,-0.01858306419564645,-18.56423748122671
-0.00102637,-0.01892010652155993,-18.49322690519326
-0.00102624,-0.01892010652155993,-18.4222163291599
-0.00102611,-0.01892010652155993,-18.34746835438781
-0.00102598,-0.01892010652155993,-18.27272037961586
-0.00102585,-0.01925714884747342,-18.1942350061052
-0.00102572,-0.01892010652155963,-18.12322443007171
-0.00102559,-0.01858306419564645,-18.04847645529975
-0.00102546,-0.01858306419564645,-17.9774658792664
-0.00102533,-0.01858306419564645,-17.90645530323294
-0.0010252,-0.01858306419564661,-17.83544472719946
-0.00102507,-0.01892010652155993,-17.75695935368876
-0.00102494,-0.01892010652155963,-17.68221137891681
-0.00102481,-0.01824602186973328,-17.61120080288346
-0.00102468,-0.01892010652155993,-17.5289780306342
-0.00102455,-0.01892010652156024,-17.4504926571235
-0.00102442,-0.01925714884747342,-17.37200728361295
-0.00102429,-0.01858306419564707,-17.2935219101024
-0.00102416,-0.01892010652155978,-17.22251133406894
-0.00102403,-0.01892010652156009,-17.14402596055825
-0.0010239,-0.01925714884747342,-17.06927798578619
-0.00102377,-0.01925714884747342,-16.99079261227563
-0.00102364,-0.01993123349929976,-16.90856984002648
-0.00102351,-0.0195941911733869,-16.83755926399299
-0.00102338,-0.02026827582521386,-16.75159909300509
-0.00102325,-0.02026827582521386,-16.67685111823314
-0.00102312,-0.02026827582521386,-16.59836574472262
-0.00102299,-0.02026827582521386,-16.51988037121193
-0.00102286,-0.02060531815112718,-16.43765759896263
-0.00102273,-0.02026827582521386,-16.35169742797477
-0.0010226,-0.02026827582521386,-16.27321205446422
-0.00102247,-0.02026827582521386,-16.18725188347647
-0.00102234,-0.02060531815112734,-16.10876650996577
-0.00102221,-0.01993123349930084,-16.0265437377165
-0.00102208,-0.02094236047704036,-15.94432096546736
-0.00102195,-0.0206053181511278,-15.8658355919568
-0.00102182,-0.02094236047704066,-15.77987542096891
-0.00102169,-0.02060531815112734,-15.70512744619681
-0.00102156,-0.02060531815112764,-15.61916727520894
-0.00102143,-0.02094236047704082,-15.52946970548259
-0.0010213,-0.02060531815112764,-15.45098433197204
-0.00102117,-0.02060531815112734,-15.36502416098414
-0.00102104,-0.02026827582521416,-15.29027618621208
-0.00102091,-0.02094236047704051,-15.20431601522433
-0.00102078,-0.02060531815112764,-15.11835584423643
-0.00102065,-0.02127940280295399,-15.03987047072588
-0.00102052,-0.02161644512886778,-14.95017290099942
-0.00102039,-0.0212794028029543,-14.87168752748872
-0.00102026,-0.0212794028029543,-14.78946475523957
-0.00102013,-0.0212794028029543,-14.70350458425182
-0.00102,-0.02195348745478095,-14.61754441326396
-0.00101987,-0.02161644512886808,-14.53158424227605
-0.00101974,-0.02229052978069382,-14.44188667254955
-0.00101961,-0.02161644512886793,-14.3596639003004
-0.00101948,-0.02195348745478111,-14.27744112805125
-0.00101935,-0.02229052978069474,-14.19521835580199
-0.00101922,-0.02195348745478156,-14.10552078607548
-0.00101909,-0.02229052978069474,-14.01956061508774
-0.00101896,-0.02195348745478156,-13.92986304536139
-0.00101883,-0.02195348745478126,-13.84016547563492
-0.0010187,-0.02195348745478126,-13.75420530464702
-0.00101857,-0.02195348745478034,-13.6682451336591
-0.00101844,-0.0212794028029543,-13.5748101651942
-0.00101831,-0.02195348745478064,-13.48511259546786
-0.00101818,-0.02195348745478126,-13.39541502574135
-0.00101805,-0.02229052978069474,-13.30945485475344
-0.00101792,-0.02229052978069474,-13.21975728502709
-0.00101779,-0.02195348745478156,-13.13005971530075
-0.00101766,-0.02262757210660792,-13.04409954431288
-0.00101753,-0.02195348745478172,-12.95440197458638
-0.0010174,-0.0229646144325217,-12.8684418035985
-0.00101727,-0.0229646144325217,-12.77126943639496
-0.00101714,-0.0229646144325217,-12.68530926540721
-0.00101701,-0.0229646144325217,-12.59561169568071
-0.00101688,-0.0229646144325217,-12.5096515246928
-0.00101675,-0.0229646144325217,-12.41995395496649
-0.00101662,-0.02363869908434774,-12.32278158776296
-0.00101649,-0.02330165675843534,-12.23308401803644
-0.00101636,-0.02296461443252185,-12.14338644830993
-0.00101623,-0.02330165675843549,-12.05368887858346
-0.0010161,-0.02363869908434866,-11.96025391011852
-0.00101597,-0.02363869908434866,-11.87055634039217
-0.00101584,-0.02363869908434866,-11.77338397318846
-0.00101571,-0.02296461443252185,-11.68742380220059
-0.00101558,-0.02330165675843503,-11.59772623247425
-0.00101545,-0.02296461443252155,-11.50429126400913
-0.00101532,-0.02262757210660837,-11.40711889680559
-0.00101519,-0.02262757210660822,-11.31742132707912
-0.00101506,-0.02262757210660853,-11.2277237573526
-0.00101493,-0.0229646144325217,-11.12681399141046
-0.0010148,-0.02262757210660853,-11.04085382042272
-0.00101467,-0.02262757210660822,-10.93994405448041
-0.00101454,-0.02296461443252185,-10.85024648475394
-0.00101441,-0.02330165675843503,-10.75681151628899
-0.00101428,-0.02363869908434882,-10.66337654782388
-0.00101415,-0.02397574141026199,-10.56620418062034
-0.00101402,-0.02397574141026214,-10.46903181341666
-0.00101389,-0.02431278373617593,-10.37185944621295
-0.00101376,-0.0246498260620891,-10.27842447774801
-0.00101363,-0.02431278373617593,-10.18872690802166
-0.0010135,-0.02431278373617562,-10.0878171420794
-0.00101337,-0.02431278373617593,-9.990644774875676
-0.00101324,-0.02498686838800166,-9.893472407671959
-0.00101311,-0.02431278373617547,-9.796300040468417
-0.00101298,-0.02397574141026229,-9.695390274526279
-0.00101285,-0.02397574141026214,-9.605692704799806
-0.00101272,-0.02363869908434866,-9.508520337596083
-0.00101259,-0.02363869908434866,-9.407610571653946
-0.00101246,-0.02397574141026184,-9.314175603189002
-0.00101233,-0.02397574141026214,-9.220740634723931
-0.0010122,-0.02363869908434866,-9.123568267520213
-0.00101207,-0.02363869908434897,-9.02265850157794
-0.00101194,-0.02397574141026214,-8.925486134374401
-0.00101181,-0.02397574141026214,-8.82831376717086
-0.00101168,-0.02431278373617562,-8.727404001228541
-0.00101155,-0.02397574141026276,-8.630231634024819
-0.00101142,-0.0246498260620891,-8.529321868082681
-0.00101129,-0.0246498260620891,-8.420937304663395
-0.00101116,-0.02431278373617578,-8.33497713367546
-0.00101103,-0.02431278373617562,-8.234067367733147
-0.0010109,-0.02431278373617593,-8.136895000529465
-0.00101077,-0.0246498260620891,-8.032247835848731
-0.00101064,-0.02431278373617593,-7.938812867383788
-0.00101051,-0.02498686838800258,-7.841640500180074
-0.00101038,-0.02498686838800258,-7.740730734237799
-0.00101025,-0.02498686838800258,-7.643558367034259
-0.00101012,-0.02498686838800258,-7.542648601092122
-0.00100999,-0.02566095303982924,-7.445476233888399
-0.00100986,-0.02498686838800258,-7.344566467946081
-0.00100973,-0.02498686838800258,-7.251131499480997
-0.0010096,-0.02498686838800258,-7.142746936061663
-0.00100947,-0.02498686838800258,-7.041837170119524
-0.00100934,-0.02532391071391607,-6.944664802915804
-0.00100921,-0.02498686838800258,-6.851229834450731
-0.00100908,-0.02498686838800258,-6.75405746724719
-0.00100895,-0.02498686838800258,-6.641935505089069
-0.00100882,-0.02498686838800258,-6.548500536624126
-0.00100869,-0.02532391071391607,-6.443853371943252
-0.00100856,-0.02532391071391637,-6.350418403478129
-0.00100843,-0.02566095303982955,-6.245771238797392
-0.0010083,-0.02566095303982955,-6.144861472855253
-0.00100817,-0.02532391071391622,-6.036476909435779
-0.00100804,-0.02498686838800289,-5.935567143493456
-0.00100791,-0.02566095303982955,-5.842132175028327
-0.00100778,-0.02566095303982955,-5.737485010347591
-0.00100765,-0.02566095303982955,-5.632837845666855
-0.00100752,-0.02566095303982955,-5.524453282247374
-0.00100739,-0.02532391071391607,-5.427280915043654
-0.00100726,-0.02532391071391607,-5.326371149101515
-0.00100713,-0.02566095303982924,-5.225461383159375
-0.001007,-0.02532391071391622,-5.120814218478501
-0.00100687,-0.02498686838800274,-5.023641851274776
-0.00100674,-0.02532391071391607,-4.91899468659386
-0.00100661,-0.02532391071391607,-4.821822319390363
-0.00100648,-0.02532391071391607,-4.713437755971029
-0.00100635,-0.02566095303982955,-4.605053192551497
